CCCM IDP Site Code,Region,District,Settlement, HH , Ind ,Latitude,Longitude,Neighbourhood,Neighbourhood Type,Source,IDP Code (REACH DSA4),district_code
CCCM-SO1102-0010,Awdal,Baki,Qubanta, 97 , 582 ,10.00563669,43.36448701,,,DSA4,DSA4-SO1102-007,SO1102
CCCM-SO1102-0011,Awdal,Baki,Qurux, 140 , 840 ,9.861467492,43.40811733,,,DSA4,DSA4-SO1102-008,SO1102
CCCM-SO1102-0012,Awdal,Baki,Sheed Dheer Idp, 115 , 575 ,10.3017721,43.52351197,,,DSA4,DSA4-SO1102-015,SO1102
CCCM-SO1102-0013,Awdal,Baki,Tuur Caafi Idp, 500 ," 3,000 ",10.30960381,43.80402532,,,DSA4,DSA4-SO1102-016,SO1102
CCCM-SO1102-0014,Awdal,Baki,Tuurka Idp, 150 , 900 ,10.28048217,43.73606802,,,DSA4,DSA4-SO1102-017,SO1102
CCCM-SO1103-0001,Awdal,Lughaye,Duqaarayte Idp, 150 , 750 ,10.69015312,43.93528824,,,DSA4,DSA4-SO1103-022,SO1103
CCCM-SO1103-0002,Awdal,Lughaye,Garaaca Idp, 300 ," 1,800 ",10.65560891,43.81016964,,,DSA4,DSA4-SO1103-023,SO1103
CCCM-SO1103-0004,Awdal,Lughaye,Geerisa Idp, 480 ," 2,880 ",10.60748091,43.44019859,,,DSA4,DSA4-SO1103-024,SO1103
CCCM-SO1103-0005,Awdal,Lughaye,Ido Cadays Idp, 250 ," 1,500 ",10.62409939,44.0361238,,,DSA4,DSA4-SO1103-027,SO1103
CCCM-SO1103-0006,Awdal,Lughaye,Karuure Idp, 175 ," 1,050 ",10.75256901,43.59149493,,,DSA4,DSA4-SO1103-028,SO1103
CCCM-SO1103-0007,Awdal,Lughaye,Kilowle, 100 , 500 ,10.55143534,43.8517581,,,DSA4,DSA4-SO1103-029,SO1103
CCCM-SO1103-0008,Awdal,Lughaye,Xajiinle Idp, 200 ," 1,200 ",10.66621443,43.97809826,,,DSA4,DSA4-SO1103-036,SO1103
CCCM-SO1104-0001,Awdal,Zeylac,Caasha Cado Idp, 80 , 480 ,11.17691613,43.4410943,,,DSA4,DSA4-SO1104-001,SO1104
CCCM-SO1104-0002,Awdal,Zeylac,Geed Haad Idp, 150 , 900 ,11.42339925,43.30782103,,,DSA4,DSA4-SO1104-002,SO1104
CCCM-SO1104-0003,Awdal,Zeylac,Habaas, 150 , 900 ,10.43522615,42.80990433,,,DSA4,DSA4-SO1104-003,SO1104
CCCM-SO1104-0004,Awdal,Zeylac,Jidhi, 130 , 650 ,10.6246258,43.07238093,,,DSA4,DSA4-SO1104-004,SO1104
CCCM-SO1201-0001,Woqooyi Galbeed,Hargeysa,31 Ka may, 250 ," 1,500 ",9.528568522,44.02818178,,,DSA4,DSA4-SO1201-040,SO1201
CCCM-SO1201-0002,Woqooyi Galbeed,Hargeysa,Ayax 1 / Ayax," 1,367 "," 8,200 ",9.533610746,44.03983323,,,DSA4,DSA4-SO1201-015,SO1201
CCCM-SO1201-0003,Woqooyi Galbeed,Hargeysa,Ayax 1b, 80 , 480 ,9.532614545,44.04221962,,,DSA4,DSA4-SO1201-016,SO1201
CCCM-SO1201-0004,Woqooyi Galbeed,Hargeysa,Ayax 2," 2,800 "," 16,800 ",9.535848011,44.03535347,,,DSA4,DSA4-SO1201-017,SO1201
CCCM-SO1201-0005,Woqooyi Galbeed,Hargeysa,Ayax 3 / Ayah Three," 1,492 "," 8,952 ",9.524261436,44.02309031,,,DSA4,DSA4-SO1201-018,SO1201
CCCM-SO1201-0006,Woqooyi Galbeed,Hargeysa,Ayax 3b, 250 ," 1,500 ",9.528612812,44.02819923,,,DSA4,DSA4-SO1201-019,SO1201
CCCM-SO1201-0007,Woqooyi Galbeed,Hargeysa,Ayax 4, 570 ," 3,420 ",9.516563714,44.02993566,,,DSA4,DSA4-SO1201-020,SO1201
CCCM-SO1201-0008,Woqooyi Galbeed,Hargeysa,Barasame / Baro Samo, 220 ," 9,300 ",9.008853633,43.9995791,,,DSA4,DSA4-SO1201-021,SO1201
CCCM-SO1201-0009,Woqooyi Galbeed,Hargeysa,Boodaale, 125 , 675 ,10.0829286,44.17330425,,,DSA4,DSA4-SO1201-002,SO1201
CCCM-SO1201-0010,Woqooyi Galbeed,Hargeysa,Daami a," 4,600 "," 27,600 ",9.568791498,44.07676984,,,DSA4,DSA4-SO1201-022,SO1201
CCCM-SO1201-0011,Woqooyi Galbeed,Hargeysa,Daami b," 1,020 "," 6,120 ",9.573864976,44.06839702,,,DSA4,DSA4-SO1201-023,SO1201
CCCM-SO1201-0012,Woqooyi Galbeed,Hargeysa,Digaale," 1,410 "," 8,460 ",9.512962075,44.12051975,,,DSA4,DSA4-SO1201-024,SO1201
CCCM-SO1201-0013,Woqooyi Galbeed,Hargeysa,Hawd, 180 ," 10,800 ",9.00884,43.9997209,,,DSA4,DSA4-SO1201-039,SO1201
CCCM-SO1201-0014,Woqooyi Galbeed,Hargeysa,Jimcaale, 146 , 876 ,9.595279337,44.09455325,,,DSA4,DSA4-SO1201-025,SO1201
CCCM-SO1201-0015,Woqooyi Galbeed,Hargeysa,Laanta Hawada, 150 , 900 ,10.0828806,44.17333,,,DSA4,DSA4-SO1201-026,SO1201
CCCM-SO1201-0016,Woqooyi Galbeed,Hargeysa,Magalo Cad / Magaalo Cad, 250 ," 15,000 ",9.0179929,44.1953354,,,DSA4,DSA4-SO1201-027,SO1201
CCCM-SO1201-0017,Woqooyi Galbeed,Hargeysa,Malawle Idp, 600 ," 3,600 ",9.575484866,43.9802297,,,DSA4,DSA4-SO1201-028,SO1201
CCCM-SO1201-0018,Woqooyi Galbeed,Hargeysa,Mandheera Camp 1, 938 ," 4,690 ",9.895877131,44.70916031,,,DSA4,DSA4-SO1201-007,SO1201
CCCM-SO1201-0019,Woqooyi Galbeed,Hargeysa,Mandheera Camp 2, 850 ," 5,100 ",9.896837478,44.70894585,,,DSA4,DSA4-SO1201-008,SO1201
CCCM-SO1201-0020,Woqooyi Galbeed,Hargeysa,Maxamed Mooge a, 480 ," 2,880 ",9.539626045,44.10887037,,,DSA4,DSA4-SO1201-029,SO1201
CCCM-SO1201-0021,Woqooyi Galbeed,Hargeysa,Maxamed Mooge b / Mohamed Mooge b, 268 ," 1,742 ",9.537685487,44.10360274,,,DSA4,DSA4-SO1201-030,SO1201
CCCM-SO1201-0022,Woqooyi Galbeed,Hargeysa,Naasahablood a / Naaso_hablood, 350 ," 2,100 ",9.570395636,44.10155631,,,DSA4,DSA4-SO1201-032,SO1201
CCCM-SO1201-0023,Woqooyi Galbeed,Hargeysa,Naasahablood b / Naasa Hablood b, 570 ," 2,924 ",9.576668003,44.08539652,,,DSA4,DSA4-SO1201-031,SO1201
CCCM-SO1201-0024,Woqooyi Galbeed,Hargeysa,Naaso_hablood c, 170 , 900 ,9.6090758,44.106052,,,DSA4,DSA4-SO1201-038,SO1201
CCCM-SO1201-0025,Woqooyi Galbeed,Hargeysa,New Gabiley," 4,400 "," 26,400 ",9.588615,44.0622075,,,DSA4,DSA4-SO1201-012,SO1201
CCCM-SO1201-0026,Woqooyi Galbeed,Hargeysa,Qalax Idp," 2,000 "," 8,000 ",9.460739895,44.04710106,,,DSA4,DSA4-SO1201-033,SO1201
CCCM-SO1201-0027,Woqooyi Galbeed,Hargeysa,Road 200 / 200, 71 , 426 ,9.60883399,44.10603292,,,DSA4,DSA4-SO1201-014,SO1201
CCCM-SO1201-0028,Woqooyi Galbeed,Hargeysa,Salaxley, 250 ," 15,000 ",9.0188379,44.195996,,,DSA4,DSA4-SO1201-037,SO1201
CCCM-SO1201-0029,Woqooyi Galbeed,Hargeysa,Stadium / Stadium Ka," 4,723 "," 28,338 ",9.552026782,44.06108491,,,DSA4,DSA4-SO1201-034,SO1201
CCCM-SO1201-0030,Woqooyi Galbeed,Hargeysa,State House Idp," 4,800 "," 28,800 ",9.559200634,44.04056936,,,DSA4,DSA4-SO1201-035,SO1201
CCCM-SO1202-0001,Woqooyi Galbeed,Berbera,Bulloxaar Idp, 190 , 950 ,10.38370949,44.40182599,,,DSA4,DSA4-SO1202-003,SO1202
CCCM-SO1202-0003,Woqooyi Galbeed,Berbera,Geeri Idp, 70 , 420 ,10.37469052,44.57324106,,,DSA4,DSA4-SO1202-005,SO1202
CCCM-SO1202-0004,Woqooyi Galbeed,Berbera,Magaalo Cad, 341 ," 2,043 ",10.40676817,45.00872907,,,DSA4,DSA4-SO1202-006,SO1202
CCCM-SO1202-0007,Woqooyi Galbeed,Berbera,Xabaalo Tumaalod, 150 , 900 ,10.21271365,44.88428643,,,DSA4,DSA4-SO1202-009,SO1202
CCCM-SO1203-0001,Woqooyi Galbeed,Gebiley,Caruushka, 40 , 320 ,10.03330834,43.78326447,,,DSA4,DSA4-SO1203-001,SO1203
CCCM-SO1203-0002,Woqooyi Galbeed,Gebiley,Dabayl Wayne, 90 , 540 ,9.879015462,43.44528913,,,DSA4,DSA4-SO1203-002,SO1203
CCCM-SO1203-0003,Woqooyi Galbeed,Gebiley,Laag Barako Idp, 525 ," 3,900 ",9.707173433,43.6282396,,,DSA4,DSA4-SO1203-004,SO1203
CCCM-SO1203-0004,Woqooyi Galbeed,Gebiley,Nafaqo, 500 ," 3,000 ",9.7074864,43.6285908,,,DSA4,DSA4-SO1203-005,SO1203
CCCM-SO1203-0005,Woqooyi Galbeed,Gebiley,Tooraboore ( Teeb ) Idp / New Gabiley, 450 ," 2,700 ",10.1713255,43.84333415,,,DSA4,DSA4-SO1203-003,SO1203
CCCM-SO1203-0006,Woqooyi Galbeed,Gebiley,Wadajir Idp / Wada Jir, 234 ," 1,660 ",9.699857675,43.62882435,,,DSA4,DSA4-SO1203-006,SO1203
CCCM-SO1301-0001,Togdheer,Burco,18 May A (kurlibaax), 600 ," 3,600 ",9.4451514,45.5370776,,,CCCM Site Verification 2021,DSA4-SO1301-008,SO1301
CCCM-SO1301-0002,Togdheer,Burco,Adan Saleebaan," 4,130 "," 22,203 ",9.5259573,45.5800346,,,CCCM Site Verification 2021,DSA4-SO1301-011,SO1301
CCCM-SO1301-0003,Togdheer,Burco,Airport, 600 ," 3,600 ",9.4355136,45.5446144,,,CCCM Site Verification 2021,Not Assessed,SO1301
CCCM-SO1301-0004,Togdheer,Burco,Ali Xuseen," 1,166 "," 7,692 ",9.5646796,45.5337369,,,CCCM Site Verification 2021,DSA4-SO1301-014,SO1301
CCCM-SO1301-0005,Togdheer,Burco,Alla Aamin," 2,300 "," 13,800 ",9.4380487,45.5030629,,,CCCM Site Verification 2021,DSA4-SO1301-009,SO1301
CCCM-SO1301-0006,Togdheer,Burco,Aqil Yare," 1,500 "," 9,000 ",9.5581323,45.5435785,,,CCCM Site Verification 2021,DSA4-SO1301-013,SO1301
CCCM-SO1301-0007,Togdheer,Burco,Barwaaqo B, 150 , 900 ,9.4833901,45.5285165,,,CCCM Site Verification 2021,DSA4-SO1301-012,SO1301
CCCM-SO1301-0008,Togdheer,Burco,Ceeg, 400 ," 4,707 ",8.998507317,45.35859995,,,CCCM Site Verification 2021,DSA4-SO1301-002,SO1301
CCCM-SO1301-0009,Togdheer,Burco,Dhoobwayne, 154 ," 2,006 ",9.319284596,44.8594333,,,CCCM Site Verification 2021,DSA4-SO1303-004,SO1301
CCCM-SO1301-0010,Togdheer,Burco,Gabagabo, 400 ," 9,744 ",9.800856197,45.89232325,,,CCCM Site Verification 2021,DSA4-SO1301-017,SO1301
CCCM-SO1301-0011,Togdheer,Burco,Guryasamo, 500 ," 1,696 ",9.3653375,45.5231553,,,CCCM Site Verification 2021,DSA4-SO1301-007,SO1301
CCCM-SO1301-0012,Togdheer,Burco,Guryasamo," 1,250 "," 4,005 ",9.4705917,45.53364,,,CCCM Site Verification 2021,DSA4-SO1301-007,SO1301
CCCM-SO1301-0013,Togdheer,Burco,Habaaswayn, 296 , 249 ,9.205912356,45.12063889,,,CCCM Site Verification 2021,Not Assessed,SO1301
CCCM-SO1301-0014,Togdheer,Burco,Jamecada Caynashe Idp, 560 ," 6,935 ",9.237924982,45.28531973,,,CCCM Site Verification 2021,DSA4-SO1301-005,SO1301
CCCM-SO1301-0015,Togdheer,Burco,Kaam Barwaaqo, 800 ," 4,636 ",9.4731034,45.5230633,,,CCCM Site Verification 2021,DSA4-SO1301-010,SO1301
CCCM-SO1301-0016,Togdheer,Burco,Koosaar," 4,760 "," 30,348 ",9.5785445,45.5219911,,,CCCM Site Verification 2021,DSA4-SO1301-015,SO1301
CCCM-SO1301-0017,Togdheer,Burco,Ladan," 1,050 "," 10,804 ",9.3660142,45.7613736,,,CCCM Site Verification 2021,Not Assessed,SO1301
CCCM-SO1301-0018,Togdheer,Burco,Nabad iyo Nasiye, 150 ," 1,928 ",9.4448269,45.5457367,,,CCCM Site Verification 2021,Not Assessed,SO1301
CCCM-SO1301-0019,Togdheer,Burco,Qunyar-dega IDP, 270 ," 1,627 ",9.407467,45.0594185,,,CCCM Site Verification 2021,DSA4-SO1303-002,SO1301
CCCM-SO1301-0020,Togdheer,Burco,Samir iyo iiman, 300 ," 1,840 ",9.4917279,45.5294695,,,CCCM Site Verification 2021,Not Assessed,SO1301
CCCM-SO1301-0021,Togdheer,Burco,Unuunlay, 150 ," 1,497 ",9.2629652,45.8264559,,,CCCM Site Verification 2021,DSA4-SO1301-003,SO1301
CCCM-SO1301-0022,Togdheer,Burco,Waraabeye, 310 ," 3,756 ",8.877354199,45.5762545,,,CCCM Site Verification 2021,Not Assessed,SO1301
CCCM-SO1301-0023,Togdheer,Burco,Xafad somal IDP, 320 ," 2,063 ",9.4095583,45.0656605,,,CCCM Site Verification 2021,DSA4-SO1303-002,SO1301
CCCM-SO1301-0024,Togdheer,Burco,Xayri ali, 800 ," 4,482 ",9.4007897,45.5228386,,,CCCM Site Verification 2021,Not Assessed,SO1301
CCCM-SO1302-0001,Togdheer,Buuhoodle,Balidocol Idp, 540 ," 3,214 ",8.267937922,46.38380743,,,DSA4,DSA4-SO1302-010,SO1302
CCCM-SO1302-0002,Togdheer,Buuhoodle,Darasalaam Idp, 320 ," 1,994 ",8.56899831,46.36201768,,,DSA4,DSA4-SO1302-005,SO1302
CCCM-SO1302-0005,Togdheer,Buuhoodle,Dhumay Idp, 456 ," 3,319 ",8.331197191,47.06398087,,,DSA4,DSA4-SO1302-016,SO1302
CCCM-SO1302-0006,Togdheer,Buuhoodle,Galooley Idp, 300 ," 1,730 ",8.520434165,46.45922122,,,DSA4,DSA4-SO1302-008,SO1302
CCCM-SO1302-0007,Togdheer,Buuhoodle,Gocondhaale Idp, 484 ," 3,450 ",8.56861946,46.32029854,,,DSA4,DSA4-SO1302-003,SO1302
CCCM-SO1302-0008,Togdheer,Buuhoodle,Goljano Idp, 750 ," 4,550 ",8.654505218,46.56696136,,,DSA4,DSA4-SO1302-012,SO1302
CCCM-SO1302-0009,Togdheer,Buuhoodle,Horufadhi Idp, 120 , 800 ,8.580127869,46.40210592,,,DSA4,DSA4-SO1302-007,SO1302
CCCM-SO1302-0010,Togdheer,Buuhoodle,Kaarto Habreed, 67 , 540 ,8.666595791,46.21541967,,,DSA4,DSA4-SO1302-001,SO1302
CCCM-SO1302-0011,Togdheer,Buuhoodle,Maraalay Idp, 668 ," 4,484 ",8.144137555,47.01205667,,,DSA4,DSA4-SO1302-017,SO1302
CCCM-SO1302-0012,Togdheer,Buuhoodle,Maroodijeex Idp, 150 , 770 ,8.417051689,46.38818489,,,DSA4,DSA4-SO1302-009,SO1302
CCCM-SO1302-0013,Togdheer,Buuhoodle,Meygaagle Idp, 205 ," 1,032 ",8.472685131,46.29147964,,,DSA4,DSA4-SO1302-004,SO1302
CCCM-SO1302-0015,Togdheer,Buuhoodle,Qorulugud Idp, 400 ," 2,500 ",8.552706141,46.22492561,,,DSA4,DSA4-SO1302-002,SO1302
CCCM-SO1302-0016,Togdheer,Buuhoodle,Shangale Idp," 1,800 "," 8,500 ",8.284092425,46.31634026,,,DSA4,DSA4-SO1302-011,SO1302
CCCM-SO1302-0017,Togdheer,Buuhoodle,Tog Barwaaqo Idp, 60 , 374 ,8.536316423,46.36617124,,,DSA4,DSA4-SO1302-006,SO1302
CCCM-SO1302-0018,Togdheer,Buuhoodle,Widhwidh Idp, 512 ," 2,984 ",8.456524085,46.69247616,,,DSA4,DSA4-SO1302-013,SO1302
CCCM-SO1302-0019,Togdheer,Buuhoodle,Xidhxidh Idp," 1,100 "," 5,900 ",8.37702813,46.98995083,,,DSA4,DSA4-SO1302-015,SO1302
CCCM-SO1302-0020,Togdheer,Buuhoodle,Yagoori Idp, 180 ," 1,262 ",8.750396449,46.96263989,,,DSA4,DSA4-SO1302-014,SO1302
CCCM-SO1303-0001,Togdheer,Owdweyne,Balli Maxamed Faarax Idp, 160 , 960 ,8.7424551,45.14055213,,,DSA4,DSA4-SO1303-012,SO1303
CCCM-SO1303-0002,Togdheer,Owdweyne,Balli Yuusuf, 150 , 900 ,8.772306123,44.93945078,,,DSA4,DSA4-SO1303-011,SO1303
CCCM-SO1303-0003,Togdheer,Owdweyne,Caasha Cado, 150 , 900 ,9.40258045,45.01683962,,,DSA4,DSA4-SO1303-020,SO1303
CCCM-SO1303-0004,Togdheer,Owdweyne,Cabane Maxamuud / Maxamuud Cabane, 250 ," 1,500 ",8.965859853,44.89571385,,,DSA4,DSA4-SO1303-007,SO1303
CCCM-SO1303-0005,Togdheer,Owdweyne,Cabdi Faarax, 150 , 900 ,9.185710012,44.98632642,,,DSA4,DSA4-SO1303-005,SO1303
CCCM-SO1303-0006,Togdheer,Owdweyne,Cali Cawad, 230 ," 1,380 ",8.84430945,44.78446241,,,DSA4,DSA4-SO1303-010,SO1303
CCCM-SO1303-0007,Togdheer,Owdweyne,Cawaale Aadan, 150 , 900 ,8.991695933,44.9916433,,,DSA4,DSA4-SO1303-006,SO1303
CCCM-SO1303-0008,Togdheer,Owdweyne,Dabagoryaale Idp, 245 ," 1,200 ",8.731801387,44.82414902,,,DSA4,DSA4-SO1303-013,SO1303
CCCM-SO1303-0009,Togdheer,Owdweyne,Dhooba Wayne / Dhooba-Wayne, 155 , 920 ,9.319405959,44.85928666,,,DSA4,DSA4-SO1303-004,SO1303
CCCM-SO1303-0010,Togdheer,Owdweyne,Girni, 250 ," 1,500 ",9.795922925,45.10486675,,,DSA4,DSA4-SO1303-001,SO1303
CCCM-SO1303-0011,Togdheer,Owdweyne,Gocondhaale Idp, 218 ," 1,308 ",8.695675966,44.92972273,,,DSA4,DSA4-SO1303-014,SO1303
CCCM-SO1303-0012,Togdheer,Owdweyne,Gocondhaale Idp / Gudubi Idp, 124 , 627 ,8.817791974,44.99515047,,,DSA4,DSA4-SO1303-009,SO1303
CCCM-SO1303-0013,Togdheer,Owdweyne,Gudubi Idp, 230 ," 1,380 ",8.623967,45.1499085,,,DSA4,DSA4-SO1303-016,SO1303
CCCM-SO1303-0014,Togdheer,Owdweyne,Kaam Bali Xirsi Suldaan Diiriye / Kaam Balli Xirsi Suldaan Idp, 50 , 300 ,8.897780044,44.97850189,,,DSA4,DSA4-SO1303-008,SO1303
CCCM-SO1303-0015,Togdheer,Owdweyne,Khaatumo Idp / Raydal Khaatumo Idp, 200 ," 1,200 ",8.667600283,45.01438325,,,DSA4,DSA4-SO1303-015,SO1303
CCCM-SO1303-0016,Togdheer,Owdweyne,Qunyar Dega Idp / Hawlwadaag/ Qunyar Dega Idp, 260 ," 1,560 ",9.407805841,45.05869233,,,DSA4,DSA4-SO1303-002,SO1303
CCCM-SO1303-0017,Togdheer,Owdweyne,Xaaji Saalax Idp a, 234 ," 1,404 ",8.594939676,45.24463139,,,DSA4,DSA4-SO1303-018,SO1303
CCCM-SO1303-0018,Togdheer,Owdweyne,Xaaji Saalax Idp b, 125 , 750 ,8.597478152,45.2411786,,,DSA4,DSA4-SO1303-017,SO1303
CCCM-SO1303-0019,Togdheer,Owdweyne,Xafad Somal / Xaafad Soomaal, 280 ," 1,680 ",9.410481125,45.06604243,,,DSA4,DSA4-SO1303-003,SO1303
CCCM-SO1304-0001,Togdheer,Sheikh,Beeyo Macaan Idp, 50 , 200 ,10.06963994,45.84654974,,,DSA4,DSA4-SO1304-001,SO1304
CCCM-SO1304-0004,Togdheer,Sheikh,Gidhays, 400 ," 2,400 ",9.94909135,45.46077265,,,DSA4,DSA4-SO1304-002,SO1304
CCCM-SO1304-0005,Togdheer,Sheikh,Kulmiye, 150 , 900 ,9.982670475,44.95325205,,,DSA4,DSA4-SO1304-003,SO1304
CCCM-SO1401-0001,Sool,Laas Caanood,Afgooye Idp, 110 , 802 ,8.296408052,47.49622677,,,DSA4,DSA4-SO1401-010,SO1401
CCCM-SO1401-0002,Sool,Laas Caanood,Canjiid Idp, 145 , 734 ,8.582436211,47.26048927,,,DSA4,DSA4-SO1401-003,SO1401
CCCM-SO1401-0004,Sool,Laas Caanood,Daami Idp, 600 ," 3,437 ",8.472470691,47.36060467,,,DSA4,DSA4-SO1401-005,SO1401
CCCM-SO1401-0005,Sool,Laas Caanood,Dhaxag Iskuro Idp / Dhagax Iskaraw Idp / Dhagax Isgura Idp, 200 ," 1,200 ",8.334214686,47.14815424,,,DSA4,DSA4-SO1401-006,SO1401
CCCM-SO1401-0006,Sool,Laas Caanood,Gambadha Idp, 153 ," 1,012 ",8.562529843,47.60136198,,,DSA4,DSA4-SO1401-008,SO1401
CCCM-SO1401-0007,Sool,Laas Caanood,Higlo Fiqi Idp, 88 , 682 ,8.55590135,47.70677818,,,DSA4,DSA4-SO1401-009,SO1401
CCCM-SO1401-0008,Sool,Laas Caanood,Kabaalka Xargaga Idp, 343 ," 2,742 ",8.466326748,47.17817406,,,DSA4,DSA4-SO1401-004,SO1401
CCCM-SO1401-0009,Sool,Laas Caanood,Qabribayax Idp, 270 ," 1,450 ",8.317971823,47.47685936,,,DSA4,DSA4-SO1401-011,SO1401
CCCM-SO1401-0010,Sool,Laas Caanood,Qaydarka Idp, 290 ," 2,038 ",8.346078061,47.2871344,,,DSA4,DSA4-SO1401-007,SO1401
CCCM-SO1401-0012,Sool,Laas Caanood,Tuulo Samo Kaab Idp, 137 , 790 ,8.695775277,47.08080054,,,DSA4,DSA4-SO1401-001,SO1401
CCCM-SO1402-0002,Sool,Caynabo,Cawaale Idp, 273 ," 1,460 ",8.927127518,46.26016646,,,DSA4,DSA4-SO1402-003,SO1402
CCCM-SO1402-0003,Sool,Caynabo,Caynaba Idp a," 2,030 "," 10,150 ",8.957761361,46.41491358,,,DSA4,DSA4-SO1402-005,SO1402
CCCM-SO1402-0004,Sool,Caynabo,Caynaba Idp b, 725 ," 3,973 ",8.947051483,46.39991156,,,DSA4,DSA4-SO1402-004,SO1402
CCCM-SO1402-0005,Sool,Caynabo,Dhanaano Idp, 185 ," 1,108 ",9.469377734,46.62437465,,,DSA4,DSA4-SO1402-001,SO1402
CCCM-SO1402-0006,Sool,Caynabo,God Dhuub Idp, 283 ," 1,777 ",8.940026905,46.57165439,,,DSA4,DSA4-SO1402-006,SO1402
CCCM-SO1402-0007,Sool,Caynabo,Guumays Idp, 715 ," 5,934 ",8.836565843,46.79837488,,,DSA4,DSA4-SO1402-008,SO1402
CCCM-SO1402-0008,Sool,Caynabo,Taygara, 145 , 690 ,9.091799125,46.6902323,,,DSA4,DSA4-SO1402-002,SO1402
CCCM-SO1402-0009,Sool,Caynabo,Yamayska Camp, 153 ," 1,077 ",8.925865985,46.64601269,,,DSA4,DSA4-SO1402-007,SO1402
CCCM-SO1404-0003,Sool,Xudun,Darayo Geeso Wayn Idp, 180 ," 1,078 ",9.062206161,47.56021547,,,DSA4,DSA4-SO1404-006,SO1404
CCCM-SO1404-0004,Sool,Xudun,Dhaban Idp, 93 , 400 ,9.362251532,47.5135705,,,DSA4,DSA4-SO1404-002,SO1404
CCCM-SO1404-0005,Sool,Xudun,Dibshabeel Idp, 30 , 187 ,8.935897007,47.44452542,,,DSA4,DSA4-SO1404-005,SO1404
CCCM-SO1404-0006,Sool,Xudun,Shoodhe Idp, 120 , 500 ,9.408693191,47.43386242,,,DSA4,DSA4-SO1404-001,SO1404
CCCM-SO1404-0007,Sool,Xudun,Siiga Dheer Idp, 100 , 500 ,9.149665174,47.61781449,,,DSA4,DSA4-SO1404-004,SO1404
CCCM-SO1404-0008,Sool,Xudun,Wakxin, 75 , 425 ,9.318290859,47.60677958,,,DSA4,DSA4-SO1404-003,SO1404
